time,close
2020-10-01,53.99
2020-10-02,54.15
2020-10-03,54.15
2020-10-04,54.15
2020-10-05,55.31
2020-10-06,57.85
2020-10-07,57.37
2020-10-08,58.4
2020-10-09,57.9
2020-10-10,57.9
2020-10-11,57.9
2020-10-12,57.58
2020-10-13,55.59
2020-10-14,55.76
2020-10-15,54.57
2020-10-16,55.55
2020-10-17,55.55
2020-10-18,55.55
2020-10-19,56.02
2020-10-20,56.88
2020-10-21,55.89
2020-10-22,56.11
2020-10-23,57.43
2020-10-24,57.43
2020-10-25,57.43
2020-10-26,56.49
2020-10-27,54.64
2020-10-28,52.65
2020-10-29,52.36
2020-10-30,53.41
2020-10-31,53.41
2020-11-01,53.41
2020-11-02,55.38
2020-11-03,57.73
2020-11-04,57.32
2020-11-05,57.97
2020-11-06,57.03
2020-11-07,57.03
2020-11-08,57.03
2020-11-09,64.96
2020-11-10,68.94
2020-11-11,68.22
2020-11-12,67.29
2020-11-13,68.44
2020-11-14,68.44
2020-11-15,68.44
2020-11-16,70.78
2020-11-17,71.14
2020-11-18,71.7
2020-11-19,70.86
2020-11-20,71.18
2020-11-21,71.18
2020-11-22,71.18
2020-11-23,72.37
2020-11-24,75.74
2020-11-25,75.61
2020-11-26,74.7
2020-11-27,75.56
2020-11-28,75.56
2020-11-29,75.56
2020-11-30,73.87
2020-12-01,75.79
2020-12-02,76.89
2020-12-03,77.32
2020-12-04,78.88
2020-12-05,78.88
2020-12-06,78.88
2020-12-07,77.07
2020-12-08,76.79
2020-12-09,76.96
2020-12-10,75.35
2020-12-11,74.03
2020-12-12,74.03
2020-12-13,74.03
2020-12-14,74.86
2020-12-15,76.51
2020-12-16,75.5
2020-12-17,75.57
2020-12-18,74.5
2020-12-19,74.5
2020-12-20,74.5
2020-12-21,71.32
2020-12-22,72.79
2020-12-23,74.84
2020-12-24,75.15
2020-12-25,75.15
2020-12-26,75.15
2020-12-27,75.15
2020-12-28,74.85
2020-12-29,74.52
2020-12-30,74.21
2020-12-31,73.77
2021-01-01,73.77
2021-01-02,73.77
2021-01-03,73.77
2021-01-04,73.71
2021-01-05,73.6
2021-01-06,77.69
2021-01-07,79.09
2021-01-08,78.2
2021-01-09,78.2
2021-01-10,78.2
2021-01-11,77.73
2021-01-12,78.43
2021-01-13,77.78
2021-01-14,77.71
2021-01-15,76.3
2021-01-16,76.3
2021-01-17,76.3
2021-01-18,77.04
2021-01-19,75.66
2021-01-20,76.13
2021-01-21,75.65
2021-01-22,74.08
2021-01-23,74.08
2021-01-24,74.08
2021-01-25,71.3
2021-01-26,72.78
2021-01-27,70.76
2021-01-28,72.07
2021-01-29,70.41
2021-01-30,70.41
2021-01-31,70.41
2021-02-01,70.92
2021-02-02,73.34
2021-02-03,74.18
2021-02-04,76.17
2021-02-05,77.62
2021-02-06,77.62
2021-02-07,77.62
2021-02-08,78.7
2021-02-09,78.21
2021-02-10,79.06
2021-02-11,78.72
2021-02-12,79.68
2021-02-13,79.68
2021-02-14,79.68
2021-02-15,82.0
2021-02-16,81.96
2021-02-17,81.65
2021-02-18,80.53
2021-02-19,82.7
2021-02-20,82.7
2021-02-21,82.7
2021-02-22,82.75
2021-02-23,83.76
2021-02-24,84.9
2021-02-25,85.73
2021-02-26,83.88
2021-02-27,83.88
2021-02-28,83.88
2021-03-01,84.8
2021-03-02,85.11
2021-03-03,87.12
2021-03-04,86.46
