time,close,Volume
2024-02-15,17500,26546900
2024-02-16,17700,35472400
2024-02-19,17550,29935800
2024-02-20,17550,36292700
2024-02-21,17350,30965300
2024-02-22,17100,22159900
2024-02-23,17000,37282700
2024-02-26,16800,23431100
2024-02-27,17050,22162400
2024-02-28,17000,14947700
2024-02-29,17100,30599600
2024-03-01,17300,21864700
2024-03-04,17500,38283100
2024-03-05,17200,26615300
2024-03-06,16800,35805900
2024-03-07,16900,19482000
2024-03-08,16500,34015000
2024-03-11,16050,23738300
2024-03-12,16150,15369000
2024-03-13,16550,19855000
2024-03-14,16450,16235900
2024-03-15,16500,19133900
2024-03-18,16700,36466000
2024-03-19,16500,9763100
2024-03-20,16550,12078500
2024-03-21,17100,42529800
2024-03-22,17100,29115700
2024-03-25,17700,110483300
2024-03-26,17850,49147200
2024-03-27,18100,43775700
2024-03-28,17650,45121500
2024-03-29,17250,47108000
2024-04-01,17450,37590800
2024-04-02,17400,23946800
2024-04-03,17200,25744900
2024-04-04,17500,47239700
2024-04-05,18300,108089000
2024-04-08,18100,49680000
2024-04-09,18100,38217900
2024-04-10,17750,38896200
2024-04-11,17750,32731800
2024-04-12,17700,29044700
2024-04-15,16500,71598200
2024-04-16,15750,48735500
2024-04-17,15050,32210900
2024-04-19,14450,38830300
2024-04-22,14900,23516300
2024-04-23,14500,15670400
2024-04-24,15200,28325012
2024-04-25,15200,11094100
2024-04-26,15250,19423449
2024-05-02,14950,15483600
2024-05-03,14600,20835100
2024-05-06,14900,18042500
2024-05-07,14600,30672900
2024-05-08,13600,71921190
2024-05-09,13750,27264909
2024-05-10,13550,23472500
2024-05-13,13750,15620300
2024-05-14,13800,11651250
2024-05-15,14200,28340200
2024-05-16,14250,15364000
2024-05-17,14300,16224800
2024-05-20,14300,15013900
2024-05-21,14300,17441300
2024-05-22,14450,22791100
2024-05-23,14400,9920900
2024-05-24,14450,33030500
2024-05-27,14500,7904200
2024-05-28,14500,11431700
2024-05-29,14150,15862000
2024-05-30,14150,13130200
2024-05-31,14450,11442700
2024-06-03,14950,27819300
2024-06-04,14800,9245600
2024-06-05,14700,13810000
2024-06-06,14700,11280800
2024-06-07,14750,12551400
2024-06-10,14700,9820300
2024-06-11,14200,28562142
2024-06-12,14350,9451800
2024-06-13,14350,7532100
2024-06-14,14150,12863000
2024-06-17,14100,8627400
2024-06-18,14050,5655000
2024-06-19,13900,9813400
2024-06-20,13600,13618300
2024-06-21,13400,36873178
2024-06-24,13300,12057400
2024-06-25,13400,7174200
2024-06-26,13300,6041600
2024-06-27,13550,8550200
2024-06-28,13300,10149400
2024-07-01,13300,3814800
2024-07-02,13450,4826200
2024-07-03,13500,5999000
2024-07-04,13400,5550900
2024-07-05,13200,8726800
2024-07-08,13250,5360000
2024-07-09,13300,6543900
2024-07-10,13150,9358800
2024-07-11,13400,10048200
2024-07-12,13250,4319200
2024-07-15,13200,6518800
2024-07-16,12600,22599000
2024-07-17,12100,22627400
2024-07-18,12350,7881700
2024-07-19,11900,12410700
2024-07-22,11150,39072200
2024-07-23,11100,9344300
2024-07-24,11400,9832100
2024-07-25,11300,4823500
2024-07-26,11050,9048700
2024-07-29,11000,6590600
2024-07-30,11400,18439000
2024-07-31,11850,18353800
2024-08-01,11200,10556000
2024-08-02,11500,11001600
2024-08-05,11000,13626000
2024-08-06,11350,12730700
2024-08-07,11400,13644500
2024-08-08,11400,7510400
2024-08-09,11400,7629200
2024-08-12,11200,5322700
2024-08-13,11250,4558500
2024-08-14,11150,5110100
2024-08-15,11200,5296600
2024-08-16,11950,35447200
2024-08-19,12100,15368400
2024-08-20,12700,25453800
2024-08-21,12600,12875400
2024-08-22,12900,23817900
2024-08-23,13200,28515500
2024-08-26,13200,21515500
2024-08-27,13300,13244800
2024-08-28,13300,19707400
2024-08-29,13000,9153800
2024-08-30,12950,14655600
2024-09-04,12950,13460300
2024-09-05,12950,13104800
2024-09-06,13000,9061300
2024-09-09,13200,16013700
2024-09-10,12700,12245100
2024-09-11,11850,68030100
2024-09-12,11400,17869100
2024-09-13,11550,10748400
2024-09-16,11200,10833800
2024-09-17,11200,30683200
2024-09-18,11300,7789500
2024-09-19,11350,7856900
2024-09-20,11400,10205900
2024-09-23,11250,4412500
2024-09-24,11350,3973200
2024-09-25,11400,11190700
2024-09-26,11550,15058600
2024-09-27,11550,8269200
2024-09-30,11050,30198100
2024-10-01,11200,7170200
2024-10-02,11050,8191500
2024-10-03,10850,14555000
2024-10-04,10850,5384800
2024-10-07,10800,5353200
2024-10-08,10700,7816400
2024-10-09,10750,3498900
2024-10-10,10800,4117700
2024-10-11,10800,5256200
2024-10-14,10650,7010100
2024-10-15,10450,6994100
2024-10-16,10200,8727900
2024-10-17,10450,11788500
2024-10-18,10350,2952700
2024-10-21,10250,4120200
2024-10-22,10150,5591100
2024-10-23,10250,5014000
2024-10-24,10150,3059700
2024-10-25,10200,3267100
2024-10-28,10350,5526100
2024-10-29,10350,3901800
2024-10-30,10700,11952100
2024-10-31,10500,6138100
2024-11-01,10350,4712400
2024-11-04,10200,5149800
2024-11-05,10300,4196400
2024-11-06,10400,2867700
2024-11-07,10800,18172883
