"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/08/2024","238.91","238.02","239.53","235.88","44.58K","-0.03%"
"26/08/2024","238.97","240.30","241.80","238.83","55.50K","-0.46%"
"23/08/2024","240.07","240.29","240.29","237.01","64.92K","0.67%"
"22/08/2024","238.47","237.46","239.00","235.63","59.04K","0.02%"
"21/08/2024","238.42","236.41","238.42","236.38","57.14K","0.47%"
"20/08/2024","237.31","235.83","237.96","233.89","68.19K","0.55%"
"19/08/2024","236.01","234.84","236.65","233.55","52.91K","0.37%"
"16/08/2024","235.15","227.20","235.18","226.68","86.91K","2.89%"
"15/08/2024","228.54","229.67","229.93","227.08","35.97K","-0.50%"
"14/08/2024","229.68","229.04","231.65","228.22","38.08K","-0.22%"
"13/08/2024","230.18","230.53","231.16","228.71","42.30K","-0.26%"
"12/08/2024","230.77","228.02","230.77","228.00","39.34K","0.61%"
"09/08/2024","229.38","226.73","229.41","226.26","50.13K","1.17%"
"08/08/2024","226.73","226.47","229.26","225.99","51.38K","-0.54%"
"07/08/2024","227.95","225.96","228.05","224.99","38.52K","0.66%"
"06/08/2024","226.46","222.71","226.54","221.59","57.43K","1.68%"
"05/08/2024","222.71","231.56","231.56","221.33","82.65K","-3.82%"
"02/08/2024","231.56","228.77","231.71","226.16","56.49K","1.02%"
"01/08/2024","229.23","235.22","236.06","227.99","95.57K","-2.60%"
"31/07/2024","235.36","235.87","236.90","234.06","45.49K","-0.22%"
"30/07/2024","235.87","237.28","238.14","234.53","54.24K","-0.69%"
"29/07/2024","237.52","236.66","238.49","236.64","44.56K","0.36%"
"26/07/2024","236.66","234.53","236.66","234.20","32.78K","0.60%"
"25/07/2024","235.25","236.23","236.34","234.04","34.56K","-0.39%"
"24/07/2024","236.17","234.37","236.17","231.48","57.64K","0.67%"
"23/07/2024","234.60","238.38","239.03","234.59","50.77K","-1.59%"
"22/07/2024","238.38","240.52","240.75","236.17","80.32K","-0.89%"
"19/07/2024","240.52","242.48","242.79","239.35","67.31K","-0.81%"
"18/07/2024","242.49","240.90","242.49","239.02","50.06K","0.66%"
"17/07/2024","240.90","244.91","246.22","238.37","87.81K","-1.64%"
"16/07/2024","244.91","244.10","246.37","241.12","58.94K","0.03%"
"15/07/2024","244.84","244.22","245.86","243.24","50.46K","-0.07%"
"12/07/2024","245.02","245.34","246.16","243.94","51.23K","-0.15%"
"11/07/2024","245.39","242.59","246.54","242.59","62.57K","0.35%"
"10/07/2024","244.54","244.29","246.45","244.06","57.47K","-0.46%"
"09/07/2024","245.66","243.04","245.83","242.87","66.73K","1.03%"
"08/07/2024","243.15","242.19","243.86","241.79","60.76K","0.35%"
"05/07/2024","242.31","242.02","242.44","240.32","58.03K","0.18%"
"04/07/2024","241.88","241.42","242.78","241.02","45.04K","0.19%"
"03/07/2024","241.43","240.53","241.90","237.53","42.60K","0.26%"
"02/07/2024","240.80","238.22","240.92","237.74","40.05K","0.94%"
"01/07/2024","238.56","237.36","238.57","235.88","47.96K","0.41%"
"28/06/2024","237.59","240.05","240.27","236.51","66.38K","-1.03%"
"27/06/2024","240.07","238.99","240.11","238.07","46.62K","0.16%"
"26/06/2024","239.68","239.45","240.47","237.78","47.88K","-0.21%"
"25/06/2024","240.19","239.34","240.79","236.75","45.96K","0.19%"
"24/06/2024","239.74","242.30","245.36","238.16","109.85K","-1.89%"
"21/06/2024","244.36","243.85","245.32","243.62","70.94K","0.16%"
"20/06/2024","243.97","243.34","245.01","241.94","66.55K","0.16%"
"19/06/2024","243.57","244.38","245.02","242.60","57.86K","-0.35%"
"18/06/2024","244.43","241.10","244.71","241.10","51.94K","0.52%"
"17/06/2024","243.16","243.95","245.30","242.57","68.21K","-0.33%"
"14/06/2024","243.97","248.36","249.07","243.97","105.89K","-1.77%"
"13/06/2024","248.36","246.71","249.53","246.65","73.71K","0.02%"
"12/06/2024","248.31","245.03","248.31","244.56","76.68K","0.77%"
"11/06/2024","246.41","245.58","247.07","244.18","86.96K","0.34%"
"10/06/2024","245.58","244.01","246.53","243.64","77.54K","0.24%"
"07/06/2024","244.99","244.18","245.49","243.95","75.87K","0.33%"
"06/06/2024","244.18","244.03","245.53","243.26","63.35K","-0.13%"
"05/06/2024","244.49","244.33","246.02","244.09","88.70K","0.07%"
"04/06/2024","244.32","244.67","245.81","243.96","82.02K","-0.16%"
"03/06/2024","244.72","242.82","245.09","242.82","99.12K","0.67%"
"31/05/2024","243.09","244.01","244.57","242.62","74.85K","-0.38%"
"30/05/2024","244.01","243.74","244.22","239.96","136.84K","-0.06%"
"29/05/2024","244.15","245.24","247.18","243.41","94.00K","-0.58%"
"28/05/2024","245.58","242.83","245.64","241.37","77.54K","1.13%"
"27/05/2024","242.83","239.66","243.12","239.65","64.84K","0.46%"
"24/05/2024","241.72","246.95","246.95","238.90","146.44K","-2.10%"
"23/05/2024","246.91","245.02","246.92","244.19","101.92K","0.72%"
"22/05/2024","245.15","241.11","246.23","240.99","135.23K","0.76%"
"21/05/2024","243.29","241.48","243.29","238.55","107.70K","0.30%"
"20/05/2024","242.57","241.54","244.70","241.54","100.24K","0.43%"
"17/05/2024","241.54","240.02","241.55","240.00","99.35K","0.63%"
"16/05/2024","240.02","238.86","241.16","238.86","99.76K","0.52%"
"15/05/2024","238.78","237.08","239.62","237.06","114.84K","0.77%"
"14/05/2024","236.95","236.42","238.04","236.08","83.07K","0.25%"
"13/05/2024","236.36","235.68","237.18","234.82","76.98K","0.29%"
"10/05/2024","235.68","234.53","235.86","233.02","89.22K","0.47%"
"09/05/2024","234.58","234.46","236.33","234.15","81.52K","0.03%"
"08/05/2024","234.52","230.84","234.87","230.84","100.33K","0.67%"
"07/05/2024","232.96","232.33","232.98","231.57","69.27K","0.29%"
"06/05/2024","232.29","228.23","232.32","228.23","79.61K","1.78%"
"03/05/2024","228.22","227.44","229.17","227.22","55.51K","0.32%"
"02/05/2024","227.49","226.83","227.51","225.67","47.16K","0.30%"
"26/04/2024","226.82","227.57","228.11","225.88","60.37K","-0.33%"
"25/04/2024","227.57","227.94","228.10","225.84","55.02K","-0.13%"
"24/04/2024","227.87","222.63","228.04","219.45","80.52K","2.35%"
"23/04/2024","222.63","224.41","225.64","221.12","67.98K","-1.19%"
"22/04/2024","225.31","221.48","225.84","221.05","75.05K","2.04%"
"19/04/2024","220.80","225.11","226.20","218.88","127.43K","-2.39%"
"17/04/2024","226.20","228.83","230.10","225.80","79.63K","-1.15%"
"16/04/2024","228.83","229.71","230.18","224.42","134.87K","-0.38%"
"15/04/2024","229.71","241.34","242.24","229.71","163.26K","-4.82%"
"12/04/2024","241.34","239.07","241.34","238.51","75.69K","0.95%"
"11/04/2024","239.07","238.39","239.36","236.90","75.09K","0.12%"
"10/04/2024","238.79","240.36","240.94","238.50","56.59K","-0.65%"
"09/04/2024","240.36","238.08","240.36","237.74","79.31K","0.96%"
"08/04/2024","238.08","239.68","240.29","238.08","79.48K","-0.67%"
"05/04/2024","239.68","242.33","242.72","239.68","126.66K","-1.14%"
"04/04/2024","242.44","243.97","244.16","241.51","99.17K","-0.62%"
"03/04/2024","243.96","245.90","246.85","243.36","119.44K","-0.79%"
"02/04/2024","245.90","242.32","245.91","241.19","121.11K","1.24%"
"01/04/2024","242.90","242.53","243.38","240.79","96.77K","0.13%"
"29/03/2024","242.58","243.93","244.43","242.58","76.13K","-0.55%"
"28/03/2024","243.92","242.83","244.34","242.69","83.65K","0.44%"
"27/03/2024","242.85","242.05","243.89","241.61","77.85K","0.34%"
"26/03/2024","242.03","240.47","242.03","237.91","82.72K","0.51%"
"25/03/2024","240.81","241.68","243.75","239.75","128.45K","-0.36%"
"22/03/2024","241.68","241.21","243.59","240.54","119.61K","0.22%"
"21/03/2024","241.14","238.03","241.22","237.51","162.77K","1.31%"
"20/03/2024","238.03","236.17","238.03","235.28","75.72K","0.79%"
"19/03/2024","236.16","236.68","238.39","235.35","82.58K","-0.22%"
"18/03/2024","236.68","239.31","241.14","232.77","181.92K","-1.19%"
"15/03/2024","239.54","239.42","241.07","237.95","106.99K","-0.06%"
"14/03/2024","239.68","237.85","241.01","237.85","162.80K","0.62%"
"13/03/2024","238.20","234.14","238.22","232.00","107.34K","1.78%"
