time,close
2020-10-01,57.69
2020-10-02,56.2
2020-10-03,56.2
2020-10-04,56.2
2020-10-05,54.94
2020-10-06,52.94
2020-10-07,52.18
2020-10-08,51.2
2020-10-09,49.45
2020-10-10,49.45
2020-10-11,49.45
2020-10-12,48.19
2020-10-13,48.45
2020-10-14,48.95
2020-10-15,51.94
2020-10-16,50.69
2020-10-17,50.69
2020-10-18,50.69
2020-10-19,50.19
2020-10-20,50.18
2020-10-21,49.93
2020-10-22,50.68
2020-10-23,49.94
2020-10-24,49.94
2020-10-25,49.94
2020-10-26,51.19
2020-10-27,52.45
2020-10-28,56.44
2020-10-29,57.18
2020-10-30,59.67
2020-10-31,59.67
2020-11-01,59.67
2020-11-02,58.67
2020-11-03,56.67
2020-11-04,54.68
2020-11-05,50.93
2020-11-06,50.18
2020-11-07,50.18
2020-11-08,50.18
2020-11-09,47.65
2020-11-10,45.66
2020-11-11,45.43
2020-11-12,47.0
2020-11-13,47.43
2020-11-14,47.43
2020-11-15,47.43
2020-11-16,46.17
2020-11-17,45.92
2020-11-18,46.42
2020-11-19,46.92
2020-11-20,47.67
2020-11-21,47.67
2020-11-22,47.67
2020-11-23,46.41
2020-11-24,45.16
2020-11-25,45.16
2020-11-26,45.17
2020-11-27,45.67
2020-11-28,45.67
2020-11-29,45.67
2020-11-30,46.16
2020-12-01,45.91
2020-12-02,45.91
2020-12-03,45.85
2020-12-04,45.84
2020-12-05,45.84
2020-12-06,45.84
2020-12-07,47.35
2020-12-08,47.35
2020-12-09,47.33
2020-12-10,48.32
2020-12-11,50.84
2020-12-12,50.84
2020-12-13,50.84
2020-12-14,49.32
2020-12-15,49.32
2020-12-16,47.29
2020-12-17,46.32
2020-12-18,46.81
2020-12-19,46.81
2020-12-20,46.81
2020-12-21,48.82
2020-12-22,49.82
2020-12-23,49.31
2020-12-24,48.33
2020-12-25,48.33
2020-12-26,48.33
2020-12-27,48.33
2020-12-28,48.33
2020-12-29,48.34
2020-12-30,48.33
2020-12-31,48.32
2021-01-01,48.32
2021-01-02,48.32
2021-01-03,48.32
2021-01-04,47.35
2021-01-05,47.82
2021-01-06,47.79
2021-01-07,48.3
2021-01-08,49.3
2021-01-09,49.3
2021-01-10,49.3
2021-01-11,49.79
2021-01-12,51.27
2021-01-13,49.82
2021-01-14,50.16
2021-01-15,51.15
2021-01-16,51.15
2021-01-17,51.15
2021-01-18,51.64
2021-01-19,50.64
2021-01-20,49.89
2021-01-21,49.63
2021-01-22,49.4
2021-01-23,49.4
2021-01-24,49.4
2021-01-25,49.4
2021-01-26,48.14
2021-01-27,47.65
2021-01-28,48.14
2021-01-29,47.64
2021-01-30,47.64
2021-01-31,47.64
2021-02-01,46.89
2021-02-02,46.64
2021-02-03,45.63
2021-02-04,45.89
2021-02-05,45.64
2021-02-06,45.64
2021-02-07,45.64
2021-02-08,44.89
2021-02-09,45.15
2021-02-10,45.14
2021-02-11,44.9
2021-02-12,44.89
2021-02-13,44.89
2021-02-14,44.89
2021-02-15,45.13
2021-02-16,45.14
2021-02-17,46.65
2021-02-18,47.14
2021-02-19,47.14
2021-02-20,47.14
2021-02-21,47.14
2021-02-22,47.41
2021-02-23,48.4
2021-02-24,47.91
2021-02-25,48.88
2021-02-26,50.16
2021-02-27,50.16
2021-02-28,50.16
2021-03-01,48.68
2021-03-02,47.66
2021-03-03,46.9
2021-03-04,47.15
2021-03-05,47.9
2021-03-06,47.9
2021-03-07,47.9
2021-03-08,47.4
2021-03-09,47.15
2021-03-10,47.16
2021-03-11,46.41
2021-03-12,47.15
2021-03-13,47.15
2021-03-14,47.15
2021-03-15,47.91
2021-03-16,47.91
2021-03-17,48.39
2021-03-18,49.64
2021-03-19,50.91
2021-03-20,50.91
2021-03-21,50.91
2021-03-22,56.41
2021-03-23,56.42
2021-03-24,54.67
2021-03-25,54.68
2021-03-26,54.68
2021-03-27,54.68
2021-03-28,54.68
2021-03-29,64.6
2021-03-30,72.56
2021-03-31,70.81
2021-04-01,70.08
2021-04-02,70.08
2021-04-03,70.08
2021-04-04,70.08
2021-04-05,70.08
2021-04-06,65.35
2021-04-07,65.36
2021-04-08,65.36
2021-04-09,65.1
2021-04-10,65.1
2021-04-11,65.1
2021-04-12,64.61
2021-04-13,63.36
2021-04-14,63.11
2021-04-15,61.13
2021-04-16,60.12
2021-04-17,60.12
2021-04-18,60.12
2021-04-19,60.12
2021-04-20,60.38
2021-04-21,59.88
2021-04-22,55.13
2021-04-23,55.14
2021-04-24,55.14
2021-04-25,55.14
2021-04-26,55.64
2021-04-27,56.13
2021-04-28,56.63
2021-04-29,55.88
2021-04-30,56.15
2021-05-01,56.15
2021-05-02,56.15
2021-05-03,56.14
2021-05-04,57.15
2021-05-05,56.89
2021-05-06,57.14
2021-05-07,57.13
2021-05-08,57.13
2021-05-09,57.13
2021-05-10,57.14
2021-05-11,58.38
2021-05-12,58.88
2021-05-13,59.88
2021-05-14,59.14
2021-05-15,59.14
2021-05-16,59.14
2021-05-17,59.13
2021-05-18,59.88
2021-05-19,61.13
2021-05-20,62.13
2021-05-21,61.89
2021-05-22,61.89
2021-05-23,61.89
2021-05-24,61.88
2021-05-25,61.89
2021-05-26,61.39
2021-05-27,60.37
2021-05-28,60.38
2021-05-29,60.38
2021-05-30,60.38
2021-05-31,60.38
2021-06-01,59.63
2021-06-02,59.13
2021-06-03,60.62
2021-06-04,60.88
2021-06-05,60.88
2021-06-06,60.88
2021-06-07,60.87
2021-06-08,61.13
2021-06-09,60.63
2021-06-10,60.13
2021-06-11,59.38
2021-06-12,59.38
2021-06-13,59.38
2021-06-14,59.37
2021-06-15,58.62
2021-06-16,58.13
2021-06-17,58.16
2021-06-18,59.91
2021-06-19,59.91
2021-06-20,59.91
2021-06-21,60.41
2021-06-22,59.67
2021-06-23,59.42
2021-06-24,58.67
2021-06-25,57.92
2021-06-26,57.92
2021-06-27,57.92
2021-06-28,58.42
2021-06-29,58.42
2021-06-30,58.43
2021-07-01,58.18
2021-07-02,58.43
2021-07-03,58.43
2021-07-04,58.43
2021-07-05,58.66
2021-07-06,59.43
2021-07-07,59.42
2021-07-08,61.66
2021-07-09,60.66
2021-07-10,60.66
2021-07-11,60.66
2021-07-12,60.67
2021-07-13,60.16
2021-07-14,60.17
2021-07-15,60.17
2021-07-16,60.17
2021-07-17,60.17
2021-07-18,60.17
2021-07-19,61.67
2021-07-20,61.67
2021-07-21,60.16
2021-07-22,60.17
2021-07-23,59.17
2021-07-24,59.17
2021-07-25,59.17
2021-07-26,59.17
2021-07-27,59.67
2021-07-28,59.66
2021-07-29,57.17
2021-07-30,57.17
2021-07-31,57.17
2021-08-01,57.17
2021-08-02,57.18
2021-08-03,57.17
2021-08-04,57.17
2021-08-05,57.17
2021-08-06,56.91
2021-08-07,56.91
2021-08-08,56.91
2021-08-09,56.92
2021-08-10,57.17
2021-08-11,57.17
2021-08-12,57.16
2021-08-13,57.17
2021-08-14,57.17
2021-08-15,57.17
2021-08-16,57.17
2021-08-17,57.16
2021-08-18,57.17
2021-08-19,58.16
2021-08-20,58.17
2021-08-21,58.17
2021-08-22,58.17
2021-08-23,57.66
2021-08-24,56.17
2021-08-25,56.16
2021-08-26,56.16
2021-08-27,56.17
2021-08-28,56.17
2021-08-29,56.17
2021-08-30,56.17
2021-08-31,56.16
2021-09-01,55.17
2021-09-02,55.17
2021-09-03,55.16
2021-09-04,55.16
2021-09-05,55.16
2021-09-06,54.17
2021-09-07,54.16
2021-09-08,54.17
2021-09-09,54.18
2021-09-10,54.16
2021-09-11,54.16
2021-09-12,54.16
2021-09-13,53.42
2021-09-14,53.17
2021-09-15,52.92
2021-09-16,52.42
2021-09-17,52.42
2021-09-18,52.42
2021-09-19,52.42
2021-09-20,59.94
2021-09-21,58.43
2021-09-22,57.68
2021-09-23,57.42
2021-09-24,57.68
2021-09-25,57.68
2021-09-26,57.68
2021-09-27,58.68
2021-09-28,58.45
2021-09-29,58.7
2021-09-30,58.45
2021-10-01,58.46
2021-10-02,58.46
2021-10-03,58.46
2021-10-04,58.95
2021-10-05,60.44
2021-10-06,61.18
2021-10-07,61.43
2021-10-08,61.92
2021-10-09,61.92
2021-10-10,61.92
2021-10-11,62.17
2021-10-12,62.67
2021-10-13,62.68
2021-10-14,61.21
2021-10-15,60.44
2021-10-16,60.44
2021-10-17,60.44
2021-10-18,60.41
2021-10-19,60.18
2021-10-20,59.22
2021-10-21,58.68
2021-10-22,58.69
2021-10-23,58.69
2021-10-24,58.69
2021-10-25,58.21
2021-10-26,57.7
2021-10-27,57.45
2021-10-28,57.67
