time,close,Volume
2024-02-05,2798.5,26977700
2024-02-06,2720,15318300
2024-02-07,2720,9566600
2024-02-08,2675.5,14500600
2024-02-09,2660.5,11033300
2024-02-13,2705.5,11602300
2024-02-14,2683,10074200
2024-02-15,2665,10388800
2024-02-16,2725.5,15312200
2024-02-19,2766.5,15275900
2024-02-20,2736,13045600
2024-02-21,2727,8862200
2024-02-22,2738.5,10540700
2024-02-26,2755,15602000
2024-02-27,2797,18318300
2024-02-28,2772,14738900
2024-02-29,2801,15574500
2024-03-01,2838.5,15180300
2024-03-04,2835.5,11860000
2024-03-05,2878,14936200
2024-03-06,2933.5,18002200
2024-03-07,2998.5,19669400
2024-03-08,3150,36524700
2024-03-11,3002,30085100
2024-03-12,2929,17548700
2024-03-13,2918.5,14921600
2024-03-14,2899,12791900
2024-03-15,2910,17218200
2024-03-18,2966,13898000
2024-03-19,2951.5,24788200
2024-03-21,3043,19190000
2024-03-22,3099,17745400
2024-03-25,3044,13734300
2024-03-26,3045,11375300
2024-03-27,3074,15768000
2024-03-28,2988,13639500
2024-03-29,3046,10906500
2024-04-01,2937.5,12555300
2024-04-02,2923.5,11047900
2024-04-03,2930.5,10810200
2024-04-04,2966,10519200
2024-04-05,2933.5,8382800
2024-04-08,2977.5,7292600
2024-04-09,2986,7382100
2024-04-10,2978,7090600
2024-04-11,3047,16414600
2024-04-12,3040,8532600
2024-04-15,3039,8108400
2024-04-16,2975.5,11991300
2024-04-17,2927.5,9548200
2024-04-18,2970.5,7227400
2024-04-19,2942,10322500
2024-04-22,3019,12629100
2024-04-23,3030,7202400
2024-04-24,3045,8087200
2024-04-25,2998,8080800
2024-04-26,2998,13662900
2024-04-30,3052,13218000
2024-05-01,3018,12397900
2024-05-02,3008,9286800
2024-05-07,3006,9509300
2024-05-08,2995.5,7566900
2024-05-09,3033,9204000
2024-05-10,3067,9995800
2024-05-13,3076,11360600
2024-05-14,3082,9814600
2024-05-15,3099,12160600
2024-05-16,3067,15528600
2024-05-17,3134,16172100
2024-05-20,3232,19334900
2024-05-21,3163,12905100
2024-05-22,3129,9403300
2024-05-23,3151,8685400
2024-05-24,3145,6459800
2024-05-27,3164,5613700
2024-05-28,3168,12076500
2024-05-29,3132,14568300
2024-05-30,3144,9732600
2024-05-31,3214,20895800
2024-06-03,3283,16192100
2024-06-04,3209,15060900
2024-06-05,3125,12110300
2024-06-06,3112,11269000
2024-06-07,3108,7887600
2024-06-10,3147,8208600
2024-06-11,3141,8089600
2024-06-12,3109,7083400
2024-06-13,3065,8030500
2024-06-14,3063,13272900
2024-06-17,3024,6811900
2024-06-18,3039,7203400
2024-06-19,3079,6213300
2024-06-20,3078,6623700
2024-06-21,3100,11938200
2024-06-24,3127,7967400
2024-06-25,3265,16723800
2024-06-26,3280,11563900
2024-06-27,3299,12747800
2024-06-28,3358,16758700
2024-07-01,3408,13691900
2024-07-02,3465,16581600
2024-07-03,3446,10219300
2024-07-04,3565,16426600
2024-07-05,3510,10017400
2024-07-08,3445,8612700
2024-07-09,3423,9552600
2024-07-10,3468,10921600
2024-07-11,3484,8790600
2024-07-12,3408,9446600
2024-07-16,3433,6637200
2024-07-17,3458,6198000
2024-07-18,3444,7806300
2024-07-19,3411,8308200
2024-07-22,3402,4199300
2024-07-23,3474,9741500
2024-07-24,3404,7024700
2024-07-25,3249,13873500
2024-07-26,3254,8879400
2024-07-29,3337,7169600
2024-07-30,3280,7130700
2024-07-31,3448,20096500
2024-08-01,3427,22329000
2024-08-02,3054,22327500
2024-08-05,2452,41031400
2024-08-06,2596.5,29180500
2024-08-07,2818.5,28506400
2024-08-08,2715,17802300
2024-08-09,2779.5,16298600
2024-08-13,2864.5,12111900
2024-08-14,2924,12519200
2024-08-15,3041,15341300
2024-08-16,3143,12701200
2024-08-19,3090,8909500
2024-08-20,3091,6517600
2024-08-21,3069,4977300
2024-08-22,3034,6151800
2024-08-23,3075,6304700
2024-08-26,2995.5,8354300
2024-08-27,3004,6628600
2024-08-28,3016,5508000
2024-08-29,2997,6360700
2024-08-30,3009,11370200
2024-09-02,3059,7323800
2024-09-03,3137,8304100
2024-09-04,2974,15209200
2024-09-05,2962,11177300
2024-09-06,2923.5,9162000
2024-09-09,2838.5,13495800
2024-09-10,2832,9415400
2024-09-11,2770,10822300
2024-09-12,2830.5,9583500
2024-09-13,2813.5,9179800
2024-09-17,2746.5,12258700
2024-09-18,2764.5,8009800
2024-09-19,2829.5,9893400
2024-09-20,2890.5,24463700
2024-09-24,2870,14347500
2024-09-25,2816.5,14546700
2024-09-26,2894.5,14797100
2024-09-27,2818,14171500
2024-09-30,2936,30762200
2024-10-01,3001,18593900
2024-10-02,2958.5,13076000
2024-10-03,2919,12861200
2024-10-04,2970,10004100
2024-10-07,3115,18326700
2024-10-08,3023,10164300
2024-10-09,3000,6558200
2024-10-10,3018,6283600
2024-10-11,3048,7561700
2024-10-15,3093,12543500
2024-10-16,3104,7607600
2024-10-17,3173,12355100
2024-10-18,3204,12659400
2024-10-21,3180,8847500
2024-10-22,3141,9998400
2024-10-23,3098,6993400
2024-10-24,3100,7467300
2024-10-25,3086,7588700
2024-10-28,3115,8166200
2024-10-29,3202,9959500
2024-10-30,3223,15460200
2024-10-31,3212,11142900
2024-11-01,3210,10997000
2024-11-05,3245,7593500
2024-11-06,3452,22528300
2024-11-07,3452,20193500
2024-11-08,3425,9739800
2024-11-11,3421,7904600
2024-11-12,3454,13916300
2024-11-13,3485,12858400
2024-11-14,3531,14608800
2024-11-15,3765,33647400
2024-11-18,3742,15801700
2024-11-19,3835,14746300
2024-11-20,3798,11043100
2024-11-21,3848,12410800
2024-11-22,3835,9408300
2024-11-25,3819,21104000
2024-11-26,3752,9518400
